im_or,output,flag,username,timestamp
/Users/samipdshah/Documents/codes/CS352/OCRProject/flagged/im_or/tmpp80vl64c.jpg,,,,2024-04-20 19:46:41.841748
/Users/samipdshah/Documents/codes/CS352/OCRProject/flagged/im_or/tmpf2rqf9e4.jpg,11,,,2024-04-20 19:46:49.412924
