,m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
17,1959.0,66235.5,88770.5,2425104.333333333,2984281.6666666665,4542474.333333333,94535155.95,108705073.16666667,152079200.9,253038094.25,185624.26174068358,-17126.425599795766,519910.94882593164,-11975.059469163418,-28448.78153962083,46318.82849074155,80857.10213306546,0.04836886175288764,-0.00446270172007412,0.13547529063148597,-7.050040126325401e-05,-0.00016748564123281445,0.0002726914219549383,0.0004760275437499153
18,2044.0,66581.33333333333,96810.0,2352228.333333333,3141694.1666666665,5205554.0,88585047.80000001,110638129.33333333,168354590.6,305300908.0,183405.4622744075,-11798.436073059216,620340.6438356163,14960.140767842531,-1848.0345801711082,-93703.3658517003,-12222.23456555605,0.04389858108750528,-0.0028239867899027687,0.14848016911595013,7.92015081355512e-05,-9.783806723986478e-06,-0.0004960814211577939,-6.470657097420515e-05
19,1956.5,65336.5,88920.83333333333,2362901.4166666665,2965085.0416666665,4568420.75,91008781.15,107091208.98333333,152102623.05,255559264.45000002,181016.29923758376,-4389.032998977695,527063.939013829,10748.295252010226,-6994.413261819631,-58925.32147036493,20440.293900191784,0.04728876557002976,-0.001146592618686614,0.13769038013382665,6.348044423154898e-05,-4.130966358747039e-05,-0.0003480184992802464,0.00012072230121934138
20,1890.5,62940.0,85972.83333333333,2261506.9166666665,2838014.7916666665,4415102.416666666,86345706.10000001,101227412.9,144810147.7,246752709.45000002,166059.36310940632,-24259.80764568504,505381.14115166385,-3301.0215086191893,-2067.4715022509918,25605.353447437286,4779.5617354512215,0.04646329494306996,-0.006787877399969136,0.1414052937474197,-2.1242550033838772e-05,-1.3304477633795687e-05,0.0001647741465243692,3.0757169876064716e-05
21,6774.0,344612.8333333333,462723.0,19994157.5,23603897.5,37196634.0,1267769658.55,1372072591.9166667,1900786540.1833334,3305049551.5,2462713.021401275,63849.658473573625,5588636.549601413,38880.55001592636,-198350.5546042621,-236023.18229037523,691799.1137537956,0.05366898996574276,0.0013914518866613693,0.1217910801202808,1.0294835682967743e-05,-5.251948252892398e-05,-6.249448318131419e-05,0.0001831753459969244
22,1790.5,57920.83333333333,80183.16666666666,2020366.75,2570896.2916666665,4053939.083333333,74851617.45,89037421.51666667,129021041.98333333,222921019.55,146687.3676890384,-22946.675459213555,463131.92516832706,4460.258711159229,44836.92387847882,-64496.013679793105,-105197.63195073605,0.04575557996379894,-0.007157660952121974,0.1444628134629147,3.287942672569915e-05,0.00033052171381445374,-0.00047544146947774287,-0.0007754791942421509
23,7030.5,407474.3333333333,462039.8333333333,26945893.916666664,27130501.541666664,35054181.416666664,1947833249.2,1811943458.3999999,2077718306.7333333,2919640578.9500003,3329460.899748318,351556.507750947,4689227.631488588,162403.49440813065,325957.2942504287,-163127.55995500088,-443063.18401527405,0.0673599093247146,0.00711250715886383,0.09486999774765176,3.918590111457466e-05,7.864935632463917e-05,-3.9360608937356007e-05,-0.00010690552059612526
24,1902.5,65329.166666666664,82764.83333333333,2433133.083333333,2824409.2916666665,4057019.4166666665,96615951.55000001,104647194.48333333,137638377.51666665,216211508.45000002,189821.64188202657,-17618.35141991498,456484.5222149221,29178.31364452839,8103.977527461015,-141037.8859954588,1118.6201748251915,0.05244407075744835,-0.004867611824103074,0.1261178985987169,0.00018481981223935812,5.133180838564981e-05,-0.0008933551104384947,7.085507860291268e-06
25,1835.5,69237.83333333333,73063.16666666666,2854768.25,2734600.375,3206691.25,126018825.95,112032643.68333334,119251219.81666666,151377989.55,243012.5623429888,-21452.665845666546,298368.54590786714,-947.8868901729584,15353.44105472602,-2147.0690352190286,-19732.510913401842,0.07213066680626706,-0.006367551855347956,0.08856135651117167,-6.567053353060846e-06,0.00010637014564159965,-1.4875104881359274e-05,-0.00013670877116416324
26,6139.5,339720.6666666666,382021.1666666666,21334116.083333332,21221810.458333332,27338316.25,1461030084.3000002,1336715143.6,1523323496.4333334,2145059701.5500002,2536146.97176978,83202.19694758952,3567622.906672191,-131772.301125288,24056.77087214589,241645.68189391494,-5922.457583665848,0.06728347450589336,0.002207337729031909,0.09464832581063425,-4.4616101633492124e-05,8.145257577195917e-06,8.181756113086815e-05,-2.0052542698002015e-06
